analysis,seed,sigma,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
noise,9,0.0,cart,SAT,0.7866666666666666,0.12663755458515283,0.6108597285067874,0.20731036713569462,0.057803468208092484,0.2465753424657534,0.18877187425766093,False
noise,9,0.0,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.0,cert_tree,SAT,0.6533333333333333,0.5807860262008734,0.746606334841629,0.7779012835781395,0.5086705202312138,0.5068493150684932,0.0018212051627206627,False
noise,9,0.05,cart,SAT,0.7955555555555556,0.1222707423580786,0.6153846153846154,0.19868995633187772,0.05202312138728324,0.2328767123287671,0.18085359094148387,False
noise,9,0.05,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.05,cert_tree,SAT,0.6555555555555556,0.5895196506550219,0.7601809954751131,0.7754990642545229,0.5144508670520231,0.5205479452054794,0.006097078153456281,False
noise,9,0.1,cart,SAT,0.7955555555555556,0.13100436681222707,0.6244343891402715,0.20979684830074047,0.05202312138728324,0.2602739726027397,0.20825085121545647,False
noise,9,0.1,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.1,cert_tree,SAT,0.6511111111111111,0.5807860262008734,0.7420814479638009,0.7826445840877623,0.5086705202312138,0.5068493150684932,0.0018212051627206627,False
noise,9,0.2,cart,SAT,0.8088888888888889,0.13973799126637554,0.6063348416289592,0.23046340350648506,0.05202312138728324,0.2054794520547945,0.15345633066751127,False
noise,9,0.2,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.2,cert_tree,SAT,0.66,0.5676855895196506,0.755656108597285,0.7512485945140287,0.4913294797687861,0.5205479452054794,0.02921846543669332,False
noise,9,0.3,cart,SAT,0.7844444444444445,0.11790393013100436,0.579185520361991,0.2035685043668122,0.05202312138728324,0.2054794520547945,0.15345633066751127,False
noise,9,0.3,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.3,cert_tree,SAT,0.6555555555555556,0.5545851528384279,0.7149321266968326,0.7757172074512187,0.4797687861271676,0.4794520547945205,0.0003167313326470911,False
noise,9,0.4,cart,SAT,0.7577777777777778,0.11353711790393013,0.5656108597285068,0.20073362445414847,0.057803468208092484,0.2465753424657534,0.18877187425766093,False
noise,9,0.4,cart_group_threshold,SAT,0.5466666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,9,0.4,cert_tree,SAT,0.6311111111111111,0.5982532751091703,0.755656108597285,0.7917004419109379,0.5375722543352601,0.547945205479452,0.0103729511441919,False
