analysis,dataset,seed,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
stability,stability_synth,18,cart,SAT,0.8071428571428572,0.2824074074074074,0.8627450980392157,0.32733585858585856,0.1411042944785276,0.6119402985074627,0.4708360040289351,False
stability,stability_synth,18,cart_group_threshold,SAT,0.5476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,18,cert_tree,SAT,0.6738095238095239,0.47685185185185186,0.6274509803921569,0.759982638888889,0.38650306748466257,0.3880597014925373,0.0015566340078747576,False
stability,breast_cancer_proxy,18,cart,SAT,0.9181286549707602,0.9425287356321839,0.36904761904761907,0.39155052264808365,0.3333333333333333,0.13793103448275862,0.1954022988505747,False
stability,breast_cancer_proxy,18,cart_group_threshold,NEAR-SAT,0.9005847953216374,0.9425287356321839,0.42857142857142855,0.4547038327526132,0.3333333333333333,0.20689655172413793,0.1264367816091954,False
stability,breast_cancer_proxy,18,cert_tree,SAT,0.7543859649122807,0.7011494252873564,0.5,0.7131147540983607,0.5,0.27586206896551724,0.22413793103448276,False
stability,stability_synth,19,cart,SAT,0.7928571428571428,0.1282051282051282,0.6933333333333334,0.18491124260355027,0.03496503496503497,0.38823529411764707,0.3532702591526121,False
stability,stability_synth,19,cart_group_threshold,SAT,0.5428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,19,cert_tree,UNSAT,,,,,,,,False
stability,breast_cancer_proxy,19,cart,SAT,0.9298245614035088,0.9021739130434783,0.25316455696202533,0.28061613542778713,0.0,0.06896551724137931,0.06896551724137931,False
stability,breast_cancer_proxy,19,cart_group_threshold,NEAR-SAT,0.9181286549707602,0.9021739130434783,0.35443037974683544,0.3928625895989019,0.0,0.15517241379310345,0.15517241379310345,False
stability,breast_cancer_proxy,19,cert_tree,SAT,0.7368421052631579,0.6521739130434783,0.45569620253164556,0.6987341772151898,0.3333333333333333,0.25862068965517243,0.07471264367816088,False
stability,stability_synth,20,cart,SAT,0.7904761904761904,0.16751269035532995,0.852017937219731,0.19660699973283463,0.05442176870748299,0.6375,0.583078231292517,False
stability,stability_synth,20,cart_group_threshold,SAT,0.5404761904761904,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,20,cert_tree,SAT,0.6238095238095238,0.4720812182741117,0.45739910313901344,0.9688991754665123,0.38095238095238093,0.3,0.08095238095238094,False
stability,breast_cancer_proxy,20,cart,SAT,0.8654970760233918,0.9418604651162791,0.2,0.2123456790123457,0.625,0.03571428571428571,0.5892857142857143,False
stability,breast_cancer_proxy,20,cart_group_threshold,NEAR-SAT,0.8771929824561403,0.9418604651162791,0.3176470588235294,0.3372549019607843,0.625,0.10714285714285714,0.5178571428571429,False
stability,breast_cancer_proxy,20,cert_tree,SAT,0.7543859649122807,0.9767441860465116,0.7411764705882353,0.7588235294117648,0.875,0.6071428571428571,0.2678571428571429,False
stability,stability_synth,21,cart,SAT,0.7690476190476191,0.1875,0.8859649122807017,0.21163366336633663,0.08275862068965517,0.7142857142857143,0.6315270935960591,False
stability,stability_synth,21,cart_group_threshold,SAT,0.5452380952380952,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,21,cert_tree,SAT,0.6761904761904762,0.421875,0.47368421052631576,0.890625,0.32413793103448274,0.23809523809523808,0.08604269293924466,False
stability,breast_cancer_proxy,21,cart,SAT,0.9239766081871345,0.925531914893617,0.37662337662337664,0.40692640692640697,0.14285714285714285,0.17543859649122806,0.03258145363408521,False
stability,breast_cancer_proxy,21,cart_group_threshold,NEAR-SAT,0.9122807017543859,0.925531914893617,0.4025974025974026,0.4349902970592626,0.14285714285714285,0.21052631578947367,0.06766917293233082,False
stability,breast_cancer_proxy,21,cert_tree,SAT,0.7309941520467836,0.9574468085106383,0.7922077922077922,0.8274170274170274,0.42857142857142855,0.7368421052631579,0.3082706766917293,False
stability,stability_synth,22,cart,SAT,0.7595238095238095,0.0319634703196347,0.5522388059701493,0.057879797605825,0.006211180124223602,0.2,0.1937888198757764,False
stability,stability_synth,22,cart_group_threshold,SAT,0.55,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,22,cert_tree,SAT,0.6404761904761904,0.593607305936073,0.6467661691542289,0.9178082191780821,0.515527950310559,0.4,0.11552795031055896,False
stability,breast_cancer_proxy,22,cart,SAT,0.8771929824561403,0.8875,0.3626373626373626,0.40860547902801425,0.3333333333333333,0.1206896551724138,0.2126436781609195,False
stability,breast_cancer_proxy,22,cart_group_threshold,NEAR-SAT,0.8713450292397661,0.8875,0.43956043956043955,0.49527936851880516,0.3333333333333333,0.1896551724137931,0.14367816091954022,False
stability,breast_cancer_proxy,22,cert_tree,SAT,0.6900584795321637,0.925,0.8571428571428571,0.9266409266409266,0.5,0.7931034482758621,0.2931034482758621,False
stability,stability_synth,23,cart,SAT,0.8071428571428572,0.09268292682926829,0.7441860465116279,0.12454268292682927,0.03896103896103896,0.3783783783783784,0.3394173394173394,False
stability,stability_synth,23,cart_group_threshold,SAT,0.5428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,23,cert_tree,SAT,0.6333333333333333,0.4878048780487805,0.5674418604651162,0.859656137544982,0.38311688311688313,0.44594594594594594,0.06282906282906281,False
stability,breast_cancer_proxy,23,cart,SAT,0.9064327485380117,0.8913043478260869,0.21518987341772153,0.24143254090768757,0.3333333333333333,0.034482758620689655,0.29885057471264365,False
stability,breast_cancer_proxy,23,cart_group_threshold,NEAR-SAT,0.8947368421052632,0.8586956521739131,0.25316455696202533,0.29482454734818136,0.3333333333333333,0.05172413793103448,0.28160919540229884,False
stability,breast_cancer_proxy,23,cert_tree,SAT,0.7953216374269005,0.782608695652174,0.379746835443038,0.48523206751054854,0.6666666666666666,0.1896551724137931,0.47701149425287354,False
