dataset,source,seed,method,status,runtime_sec,checked,num_splits,min_accuracy_target,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
breast_cancer_proxy,real_proxy,7,cart_group_threshold,SAT,0.010514399997191504,361,,,0.6257309941520468,1.0,1.0,1.0,1.0,1.0,0.0,True
breast_cancer_proxy,real_proxy,7,cert_tree,UNSAT,2.1609899000031874,93312,18.0,0.849748743718593,,,,,,,,False
wine_proxy,real_proxy,7,cart,SAT,0.00047050000284798443,0,0.0,,0.9074074074074074,0.9285714285714286,0.5,0.5384615384615384,0.5,0.1875,0.3125,False
wine_proxy,real_proxy,7,cart_group_threshold,NEAR-SAT,0.008482799981720746,361,,,0.9259259259259259,0.8928571428571429,0.5,0.5599999999999999,0.0,0.1875,0.1875,False
wine_proxy,real_proxy,7,cert_tree,UNSAT,1.6658906000084244,78608,17.0,0.8516129032258065,,,,,,,,False
diabetes_proxy,real_proxy,7,cart,SAT,0.0005551999784074724,0,0.0,,0.7443609022556391,0.4027777777777778,0.5901639344262295,0.6824845679012346,0.23684210526315788,0.25,0.013157894736842118,False
diabetes_proxy,real_proxy,7,cart_group_threshold,SAT,0.009719100024085492,361,,,0.7669172932330827,0.5277777777777778,0.5901639344262295,0.8942901234567902,0.3157894736842105,0.25,0.06578947368421051,False
diabetes_proxy,real_proxy,7,cert_tree,SAT,2.1068132999935187,93312,18.0,0.6637540453074434,0.7368421052631579,0.4027777777777778,0.5737704918032787,0.701984126984127,0.23684210526315788,0.25,0.013157894736842118,False
synthetic_mild,synthetic,8,cart,SAT,0.0016008999955374748,0,0.0,,0.7604166666666666,0.1568627450980392,0.6844444444444444,0.2291825821237586,0.045714285714285714,0.43023255813953487,0.38451827242524916,False
synthetic_mild,synthetic,8,cart_group_threshold,SAT,0.013871699979063123,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,8,cert_tree,SAT,2.3749615999986418,78608,17.0,0.6696428571428572,0.6520833333333333,0.5058823529411764,0.6711111111111111,0.7537982080249318,0.4114285714285714,0.4883720930232558,0.07694352159468437,False
synthetic_medium,synthetic,8,cart,SAT,0.0016149000148288906,0,0.0,,0.83125,0.08583690987124463,0.6437246963562753,0.13334413042891463,0.00558659217877095,0.2345679012345679,0.22898130905579694,False
synthetic_medium,synthetic,8,cart_group_threshold,SAT,0.013009699992835522,361,,,0.5416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,8,cert_tree,UNSAT,2.3125282999826595,78608,17.0,0.70625,,,,,,,,False
synthetic_extreme,synthetic,8,cart,SAT,0.0016497999895364046,0,0.0,,0.8458333333333333,0.013333333333333334,0.7607843137254902,0.017525773195876292,0.0,0.34210526315789475,0.34210526315789475,False
synthetic_extreme,synthetic,8,cart_group_threshold,SAT,0.014172200026223436,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,8,cert_tree,UNSAT,2.34858059999533,78608,17.0,0.80375,,,,,,,,False
breast_cancer_proxy,real_proxy,8,cart,SAT,0.0018088999786414206,0,0.0,,0.9064327485380117,0.9213483146067416,0.3048780487804878,0.3309042236763831,0.3333333333333333,0.10344827586206896,0.22988505747126436,False
breast_cancer_proxy,real_proxy,8,cart_group_threshold,NEAR-SAT,0.01042460001190193,361,,,0.8888888888888888,0.9213483146067416,0.34146341463414637,0.3706127305175491,0.3333333333333333,0.15517241379310345,0.17816091954022986,False
breast_cancer_proxy,real_proxy,8,cert_tree,UNSAT,2.149097100016661,93312,18.0,0.8597989949748744,,,,,,,,False
